,date,price,commodity
0,2024-01-02,52.0,Raspberries
1,2024-01-03,52.0,Raspberries
2,2024-01-08,52.0,Raspberries
3,2024-01-09,52.0,Raspberries
4,2024-01-10,52.0,Raspberries
5,2024-01-11,52.0,Raspberries
6,2024-01-12,52.0,Raspberries
7,2024-01-16,46.0,Raspberries
8,2024-01-17,46.0,Raspberries
9,2024-01-18,46.0,Raspberries
10,2024-01-19,46.0,Raspberries
11,2024-01-22,43.0,Raspberries
12,2024-01-23,43.0,Raspberries
13,2024-01-24,43.0,Raspberries
14,2024-01-25,43.0,Raspberries
15,2024-01-26,43.0,Raspberries
16,2024-01-29,43.0,Raspberries
17,2024-01-30,43.0,Raspberries
18,2024-01-31,43.0,Raspberries
19,2024-02-01,43.0,Raspberries
20,2024-02-02,43.0,Raspberries
21,2024-02-05,43.0,Raspberries
22,2024-02-06,43.0,Raspberries
23,2024-02-07,43.0,Raspberries
24,2024-02-08,43.0,Raspberries
25,2024-02-09,43.0,Raspberries
26,2024-02-12,43.0,Raspberries
27,2024-02-13,43.0,Raspberries
28,2024-02-14,43.0,Raspberries
29,2024-02-15,43.0,Raspberries
30,2024-02-16,43.0,Raspberries
31,2024-02-20,43.0,Raspberries
32,2024-02-21,43.0,Raspberries
33,2024-02-22,43.0,Raspberries
34,2024-02-23,43.0,Raspberries
35,2024-02-26,43.0,Raspberries
36,2024-02-27,43.0,Raspberries
37,2024-02-28,43.0,Raspberries
38,2024-02-29,43.0,Raspberries
39,2024-03-01,43.0,Raspberries
40,2024-03-04,43.0,Raspberries
41,2024-03-05,43.0,Raspberries
42,2024-03-06,43.0,Raspberries
43,2024-03-07,43.0,Raspberries
44,2024-03-08,,Raspberries
45,2024-03-11,37.5,Raspberries
46,2024-03-12,37.5,Raspberries
47,2024-03-13,37.5,Raspberries
48,2024-03-14,37.5,Raspberries
49,2024-03-15,37.5,Raspberries
50,2024-03-18,37.5,Raspberries
51,2024-03-19,37.5,Raspberries
52,2024-03-20,37.5,Raspberries
53,2024-03-21,37.5,Raspberries
54,2024-03-22,37.5,Raspberries
55,2024-03-25,37.5,Raspberries
